,fluxes
R02412,0.030517872717695866
R02408,0.0
R02404,0.0
R02401,0.0
R02340,0.0
R02331,0.0016070267712551905
R02328,0.0
R02326,0.0009183010121458232
R02325,0.0
R02323,0.0
R02322,-0.0002983311799001155
R02301,0.0
R02300,0.0
R02291,0.0689207432809184
R02283,0.0
R02282,0.0
R02272,0.0
R02241,0.0
R02240,0.0
R02237,0.0
R02236,0.0
R02235,0.0
R02199,0.019149057997867834
R02164,0.0
R02161,0.011257566026859055
R02142,0.0
R02111,0.0
R02102,0.0
R02101,0.0016070267712551905
R02100,0.0016070267712551905
R02098,0.0
R02094,0.0016070267712551905
R02093,0.0016070267712551905
R02090,0.0
R02088,0.0
R02060,-0.005472577653463622
R02056,0.0
R02055,0.0
R02036,0.4661079968207608
R02035,4.372328784244023
R02030,0.0
R02029,0.0
R02024,0.0009183010121458232
R02021,0.0
R02019,0.0016070267712551905
R02018,0.0016070267712551905
R02017,0.0009183010121458232
R02016,0.0050506555668020274
R02003,0.004957584518273736
R01993,-0.010020649558212878
R01974,0.0
R01968,0.0
R01954,0.015109774491739923
R01933,0.0
R01931,0.0
R01920,0.0
R01900,-0.10350819723340646
R01887,0.0
R01870,-0.010020649558212878
R01868,0.0
R01867,0.010020649558212878
R01858,0.0016070267712551905
R01857,0.0
R01830,0.0
R01827,0.0
R01826,0.030517872717695866
R01819,0.0
R01818,0.0
R01801,0.0
R01800,0.0
R01799,0.0
R01786,-0.0009927578509684575
R01777,0.008986710870638927
R01775,-0.047583895168978846
R01773,0.0
R01771,0.03859718429833992
R01736,0.0
R01728,0.01047173390674666
R01724,0.0
R01716,0.0
R01715,0.025132285470923357
R01714,0.030517872717695866
R01706,0.015704188255007287
R01698,0.0
R01665,0.0
R01664,0.0
R01658,0.004957584518273736
R01655,0.0
R01654,0.0
R01652,0.01944812630047208
R01641,0.9824213982009516
R01626,0.14514740254815703
R01621,0.0
R01600,0.0
R01582,0.0
R01570,0.0
R01569,0.0
R01547,0.0
R01530,-0.00019855157019369151
R01529,-1.995360669119599
R01528,0.0
R01518,-0.3452391164239205
R01514,-4.972227696575519e-05
R01512,-0.34558717484457546
R01492,0.0
R01470,0.0
R01466,0.03859718429833992
R01457,0.0
R01421,0.0
R01411,0.0
R01401,0.0
R01398,0.015109774491739923
R01397,0.010020649558212878
R01385,0.0
R01384,0.0
R01373,0.014660551564176696
R01354,0.0
R01353,0.0
R01334,0.0
R01325,0.10350819723340646
R01320,0.0
R01302,0.0
R01288,0.008986710870638927
R01286,0.0
R01280,0.0
R01268,0.0
R01256,0.0
R01251,0.0
R01248,-0.014586094725354062
R01231,0.0
R01230,0.005623284499977201
R01229,0.0
R01227,0.0
R01226,0.0
R01224,0.0
R01221,-0.018001101567488114
R01216,-1.5911178266942746e-05
R01214,-0.02550705155966395
R01213,0.01944812630047208
R01209,0.044971089038402974
R01196,0.035968857887900926
R01187,0.0
R01186,0.0
R01185,0.0
R01167,0.0
R01163,0.006582605025577728
R01152,0.0
R01150,0.0026370130416349656
R01148,-0.005274026083269931
R01146,6.8462677280025215
R01142,0.0
R01138,-0.0009183010121458232
R01137,0.0
R01135,0.0161018197907589
R01132,0.0
R01130,0.005623284499977201
R01127,-0.0217251042907361
R01126,0.0
R01106,0.0
R01090,-0.01944812630047208
R01086,0.015109774491739923
R01085,0.0
R01083,0.0161018197907589
R01082,-0.07652848694028572
R01078,0.0
R01074,0.0
R01073,-0.005385587246772511
R01072,0.015142499265158371
R01071,-0.006582605025577728
R01070,0.0
R01068,0.465981133287731
R01067,1.0129392709186475
R01061,0.34558717484457546
R01057,0.0
R01056,0.9449917259253301
R01054,0.0
R01049,0.0374296722756216
R01030,0.0
R01015,-0.45716990353577636
R01011,0.0
R00996,0.019149057997867834
R00994,0.0
R00986,0.0
R00985,0.005385587246772511
R00974,0.0
R00966,0.0
R00965,0.010020649558212878
R00963,0.0
R00959,0.0
R00948,0.00581756100667516
R00946,0.010680603953853857
R00945,-0.030288732292597164
R00943,0.0
R00942,0.0
R00941,-0.03686760355589447
R00940,0.0
R00939,0.0
R00937,0.0
R00936,-0.0016070267712551905
R00934,0.0
R00926,0.0
R00899,-1.0938950570358691e-05
R00897,0.0
R00896,0.0
R00894,0.0
R00888,0.0
R00885,0.0
R00858,-0.011257566026859055
R00851,0.0
R00847,0.00019234683362513865
R00844,-0.0011230573189080677
R00842,0.0
R00835,4.373321542094992
R00806,0.0
R00802,0.0
R00801,0.0
R00787,0.5708714100220615
R00782,-0.002270855156220128
R00771,-4.379238546414651
R00768,0.005472577653463622
R00756,0.46603085556469676
R00754,6.8462677280025215
R00742,0.14514740254815703
R00734,-0.01047173390674666
R00722,0.0
R00720,0.0
R00714,0.0
R00713,0.0
R00709,0.10350819723340646
R00704,0.0
R00702,0.0011602857383193848
R00694,-0.014660551564176696
R00691,0.0
R00674,0.0
R00669,0.0
R00667,-0.015109774491739923
R00662,0.0
R00660,0.0026370130416349656
R00658,0.3452391164239205
R00621,0.0
R00617,0.0
R00588,-0.03599802014977312
R00586,0.0
R00585,0.03599802014977312
R00582,0.0
R00578,0.0
R00575,0.0
R00573,0.0
R00571,0.00466596189955176
R00570,0.0
R00568,0.0
R00566,0.0
R00549,0.0
R00548,-3.2816851711076075e-05
R00529,0.0
R00528,-0.011257566026859055
R00519,0.702316167602482
R00515,0.0
R00512,0.043573161889508015
