Kegg_ID	ModelSeed_ID	formula	charge
C11621	cpd08435	C16H12O4	0
C11622	cpd08436	C24H24ClN2O	1
C11626	cpd08437	C46H60N4O13S	0
C00754	cpd08438	H2O4V	-1
C11627	cpd08438	H2O4V	-1
C11628	cpd08439	C7H10Cl2N3	-1
C11629	cpd08440	C25H34NO8S	-3
C11630	cpd08441	C33H34N4O6	-2
C11631	cpd08442	C10H9N4O6	-1
C11632	cpd08443	C21H22N2O3	0
C11633	cpd08444	C19H20N2O	0
C11634	cpd08445	C19H20N2O	0
C11635	cpd08446	C19H22N2O	0
C11636	cpd08447	C16H23O9	-1
C11637	cpd08448	C24H37O4	-1
C11638	cpd08449	C3H7NO5P	-1
C11639	cpd08450	C27H34O15	0
C11640	cpd08451	C21H34O11	0
C11641	cpd08452	C46H58N4O8	2
C11642	cpd08453	C21H25N2O3	1
C11643	cpd08454	C21H25N2O3	1
C11644	cpd08455	C17H26O12	0
C11645	cpd08456	C18H28O11	0
C11646	cpd08457	C25H34O13	0
C11647	cpd08458	C24H31O13	-1
C11648	cpd08459	C17H26O9	0
C11649	cpd08460	C16H23O9	-1
C11650	cpd08461	C25H34O13	0
C11651	cpd08462	C10H16O2	0
C11652	cpd08463	C16H24O8	0
C11653	cpd08464	C16H24O8	0
C11654	cpd08465	C16H22O9	0
C11655	cpd08466	C26H30O15	0
C11656	cpd08467	C16H26O7	0
C11657	cpd08468	C24H34O11	0
C11658	cpd08469	C24H34O11	0
C11659	cpd08470	C17H26O11	0
C11660	cpd08471	C17H26O12	0
C11661	cpd08472	C16H23O10	-1
C11662	cpd08473	C25H34O14	0
C11663	cpd08474	C27H36O15	0
C11664	cpd08475	C25H32O13	0
C11665	cpd08476	C25H32O13	0
C11666	cpd08477	C26H36O13	0
C11667	cpd08478	C26H36O13	0
C11668	cpd08479	C25H32O14	0
C11669	cpd08480	C25H32O14	0
C11670	cpd08481	C16H26O7	0
C11671	cpd08482	C15H22O9	0
C11672	cpd08483	C16H21O9	-1
C11673	cpd08484	C16H21O10	-1
C11674	cpd08485	C17H24O12	0
C11675	cpd08486	C22H27N2O3	1
C11676	cpd08487	C21H25N2O3	1
C11677	cpd08488	C21H25N2O4	1
C11678	cpd08489	C21H25N2O4	1
C11679	cpd08490	C21H23N2O3	1
C11680	cpd08491	C21H22N2O3	0
C11681	cpd08492	C21H22N2O3	0
C11682	cpd08493	C21H25N2O3	1
C11683	cpd08494	C21H25N2O3	1
C11684	cpd08495	C27H35N5O7S	0
C11685	cpd08496	C13H16Cl2NO	1
C11686	cpd08497	C8H11Cl2N3O2	0
C11687	cpd08498	C2H6N	1
C11688	cpd08499	C31H29N5O4	0
