pw_ID	pw_name	KO	EC	Reaction
map01100	Metabolic pathways	['K00560', 'K13998']	[' 2.1.1.45']	['R02101']
map01100	Metabolic pathways	['K00607']	[' 2.1.2.14']	['R12790']
map01100	Metabolic pathways	['K05299', 'K15022', 'K22015', 'K25123', 'K25124', 'K22516', 'K00125']	[' 1.2.2.1', ' 1.17.1.9']	['R00134', 'R03146', 'R12754']
map01100	Metabolic pathways	['K00660', 'K08243']	[]	['R06568']
map01100	Metabolic pathways	['K01859']	['K01859 (E5.5.1.6)', ' 5.5.1.6']	['R06556']
map01100	Metabolic pathways	['K13257']	[' 1.14.14.87']	['R07777']
map01100	Metabolic pathways	['K13258']	[' 4.2.1.105']	['R07317']
map01100	Metabolic pathways	['K13259']	[' 2.1.1.46']	['R06564']
map01100	Metabolic pathways	['K13260']	[' 1.14.14.89', ' 1.14.14.90']	['R06560']
map01100	Metabolic pathways	['K05281']	[' 1.3.1.45']	['R06562']
map01100	Metabolic pathways	['K13265']	[' 1.1.1.348']	['R07737']
map01100	Metabolic pathways	['K25075']	[' 4.2.1.139']	['R07738']
map01100	Metabolic pathways	['K14941']	[' 2.7.7.105']	['R12646']
map01100	Metabolic pathways	['K11212']	[' 2.7.8.28']	['R12648']
map01100	Metabolic pathways	['K24998']	[' 1.3.8.17']	['R12720']
map01100	Metabolic pathways	['K00527', 'K00524', 'K21636']	[' 1.1.98.6', ' 1.17.4.2']	['R02023', 'R11635']
map01100	Metabolic pathways	['K00844', 'K12407', 'K00845', 'K25026', 'K00886', 'K08074', 'K00918']	[' 2.7.1.1', ' 2.7.1.2', ' 2.7.1.63', ' 2.7.1.147']	['R01600', 'R02187', 'R09086']
map01100	Metabolic pathways	['K20616']	[' 2.5.1.150']	['R12285']
map01100	Metabolic pathways	['K20611']	[' 1.3.99.37']	['R12708']
map01100	Metabolic pathways	['K20616']	[' 2.5.1.150']	['R12286']
map01100	Metabolic pathways	['K20611']	[' 1.3.99.37']	['R12709']
map01100	Metabolic pathways	['K08977']	[' 4.2.1.161']	['R12712']
map01100	Metabolic pathways	['K08977']	[' 4.2.1.161']	['R12711']
map01100	Metabolic pathways	['K05310', 'K05287']	[]	['R12702']
map01100	Metabolic pathways	['K05294']	[]	[]
map01100	Metabolic pathways	['K03800']	[' 6.3.1.20']	['R12429']
map01100	Metabolic pathways	['K24439']	[]	['R10479']
map01100	Metabolic pathways	['K24856', 'K24438', 'K24857', 'K24858']	[]	['R10481']
map01100	Metabolic pathways	['K17649']	[' 2.1.1.109']	['R03112']
map01100	Metabolic pathways	['K17650']	[' 2.1.1.110']	['R03111']
map01100	Metabolic pathways	['K17651']	[' 1.14.14.117']	['R10319']
map01100	Metabolic pathways	['K12501']	[' 2.5.1.117']	['R08782']
map01100	Metabolic pathways	['K12501']	[' 2.5.1.117']	['R08782']
map01100	Metabolic pathways	['K12502', 'K18534', 'K18534']	[' 2.1.1.295']	['R10709']
map01100	Metabolic pathways	['K18284', 'K18284']	[' 3.2.2.30']	['R10668']
map01100	Metabolic pathways	['K11782']	[' 4.2.1.151']	['R10666']
map01100	Metabolic pathways	['K18285']	[' 2.5.1.120']	['R10667']
map01100	Metabolic pathways	['K18286', 'K20810']	[' 3.5.4.40']	['R10695']
map01100	Metabolic pathways	['K11783']	[' 3.2.2.26']	['R08587']
map01100	Metabolic pathways	['K11784']	[' 1.21.98.1']	['R08588']
map01100	Metabolic pathways	['K11785']	[]	['R08589']
map01100	Metabolic pathways	['K03146', 'K22699']	[' 2.4.2.59', ' 2.4.2.60']	['R10685', 'R12026']
map01100	Metabolic pathways	['K03146', 'K22699']	[' 2.4.2.59', ' 2.4.2.60']	['R10685', 'R12026']
map01100	Metabolic pathways	['K24541']	[]	['R12659']
map01100	Metabolic pathways	['K24529']	[]	['R10876']
map01100	Metabolic pathways	['K24292', 'K24530']	[]	['R10875']
map01100	Metabolic pathways	['K24531']	[]	['R10874']
map01100	Metabolic pathways	['K21540']	[' 2.1.1.238']	['R09822']
map01100	Metabolic pathways	['K21539']	[' 2.1.1.237']	['R09823']
