ko	rxn	ModelSeed_ID
K02744	R08367	rxn11879
K10984	R08367	rxn11879
K10985	R08367	rxn11879
K10986	R08367	rxn11879
K02079	R05168	rxn03504
K02744	R08366	rxn11878
K02745	R08366	rxn11878
K02746	R08366	rxn11878
K02747	R08366	rxn11878
K21622	R11623	
K21620	R02928	rxn02095
K21621	R02927	rxn02094
K01193	R02410	
K01189	R01101	rxn00817
K07406	R01101	rxn00817
K07407	R01101	rxn00817
K01189	R01103	
K07406	R01103	
K07407	R01103	
K06617	R02411	rxn01738
K06611	R03418	
K06611	R03634	rxn02596
K01189	R03418	
K01189	R03634	rxn02596
K07406	R03418	
K07406	R03634	rxn02596
K07407	R03418	
K07407	R03634	rxn02596
K01193	R03635	rxn02597
K01189	R05549	
K07406	R05549	
K07407	R05549	
K18819	R01192	
K04618	R01098	rxn00814
K00880	R01901	rxn01389
K18818	R09666	rxn16509
K07026	R05790	rxn04037
K00721	R01009	rxn05918
K09658	R01009	rxn05918
K09659	R01009	rxn05918
K05947	R05768	rxn04021
K00066	R00880	rxn00638
K19290	R08692	rxn06318
K19291	R08692	rxn06318
K01795	R08693	rxn14315
K01729	R03706	rxn11993
K02812	R04076	rxn06578
K02813	R04076	rxn06578
K02814	R04076	rxn06578
K02815	R04076	rxn06578
K19956	R03234	rxn02313
K00068	R05607	rxn15354
K14634	R02731	rxn15361
K14634	R02732	rxn01971
K19028	R02731	rxn15361
K19028	R02732	rxn01971
K19029	R02731	rxn15361
K19029	R02732	rxn01971
K01103	R02731	rxn15361
K01103	R02732	rxn01971
K00900	R02731	rxn15361
K00900	R02732	rxn01971
K08261	R02925	rxn02092
K08261	R07346	rxn05085
K17742	R02925	rxn02092
K17742	R07346	rxn05085
K19633	R02925	rxn02092
K19633	R07346	rxn05085
K01808	R09030	rxn08113
K00881	R03576	rxn02552
K17195	R09031	rxn08118
K00665	R01624	rxn05349
K00668	R01624	rxn05349
K11533	R01624	rxn05349
K00632	R03991	rxn02804
K07513	R03991	rxn02804
K07508	R03991	rxn02804
K07509	R03991	rxn02804
K11262	R00742	rxn00533
K01946	R00742	rxn00533
K01962	R00742	rxn00533
K02160	R00742	rxn00533
K01961	R00742	rxn00533
K01963	R00742	rxn00533
K11263	R00742	rxn00533
K18472	R00742	rxn00533
K19312	R00742	rxn00533
K22568	R00742	rxn00533
K01964	R00742	rxn00533
K15037	R00742	rxn00533
K15036	R00742	rxn00533
K00846	R00866	rxn00627
K00846	R03232	rxn06348
K02768	R00866	rxn00627
K02768	R03232	rxn06348
K02769	R00866	rxn00627
K02769	R03232	rxn06348
K02770	R00866	rxn00627
K02770	R03232	rxn06348
K00007	R00865	rxn00626
K00007	R00868	rxn00629
K00007	R00870	rxn00630
K00045	R00865	rxn00626
K00045	R00868	rxn00629
K00045	R00870	rxn00630
K02798	R02704	rxn06224
K02798	R02167	rxn01560
K02800	R02704	rxn06224
K02800	R02167	rxn01560
K19270	R02704	rxn06224
K19270	R02167	rxn01560
K24204	R02704	rxn06224
K24204	R02167	rxn01560
K00009	R02703	rxn20181
K01218	R01332	rxn15182
K19355	R01332	rxn15182
K00882	R02071	rxn01492
K01628	R02262	rxn01620
K01629	R02263	rxn01621
K00064	R08926	rxn14044
K07046	R10689	rxn40431
K18334	R03688	rxn02617
K18335	R10690	rxn40432
K21883	R11339	
K12661	R03774	rxn02676
K18338	R03772	rxn02675
K18337	R03942	rxn02770
K01813	R02437	rxn01761
K01820	R02437	rxn01761
K00848	R03014	rxn02161
K18337	R10788	
K18337	R10995	
K01818	R03163	rxn02263
K00879	R03241	rxn02319
K22397	R01782	rxn01306
K22185	R01429	rxn01041
K22185	R01430	rxn01042
K00078	R01429	rxn01041
K00078	R01430	rxn01042
K14273	R01429	rxn01041
K14273	R01430	rxn01042
K14274	R02427	rxn01751
K14275	R02429	rxn01753
K22186	R02429	rxn01753
K22396	R02429	rxn01753
K14259	R09186	rxn16048
K00848	R01902	rxn01390
K01629	R01785	rxn01308
K22539	R02361	rxn14062
K01728	R02361	rxn14062
K19551	R02361	rxn14062
K01731	R02361	rxn14062
K22994	R02361	rxn14062
K01730	R04382	rxn03042
K01815	R04383	rxn03043
K00065	R01542	rxn01124
K00716	R06095	rxn39605
K07633	R06095	rxn39605
K07634	R06095	rxn39605
K03663	R06095	rxn39605
K07632	R06095	rxn39605
K00716	R06025	rxn39589
K07633	R06025	rxn39589
K07634	R06025	rxn39589
K03663	R06025	rxn39589
K07632	R06025	rxn39589
K00741	R05975	rxn39569
K07970	R05975	rxn39569
K07971	R05975	rxn39569
K00742	R06189	rxn39642
K03844	R06128	rxn31715
K07432	R05970	rxn39565
K07441	R05970	rxn39565
K03842	R05972	rxn39567
K03843	R05973	rxn31488
K03844	R06127	rxn39611
K00729	R01005	rxn05914
K00729	R01006	rxn05915
K03714	R06016	rxn31714
K00738	R05987	rxn39577
K00744	R05991	rxn39581
K09661	R05991	rxn39581
K00726	R05983	rxn31492
K00736	R05985	rxn39575
K00737	R05986	rxn39576
K23007	R12146	
K23005	R12146	
K21374	R10835	
K07431	R07204	rxn04983
K01662	R05636	rxn03909
K01810	R00771	rxn00558
K06859	R00771	rxn00558
K13810	R00771	rxn00558
K15916	R00771	rxn00558
K00844	R00760	rxn00547
K00847	R00760	rxn00547
K02851	R12075	
K16870	R12077	
K16649	R12078	
K16649	R12079	
K16650	R12080	
K09844	R07539	rxn07370
K10247	R10825	
K10205	R10825	
K10248	R10825	
K10249	R10825	
K10244	R10825	
K10203	R10825	
K10250	R10825	
K15397	R10825	
K10245	R10825	
K10246	R10825	
K10251	R10826	
K10703	R10827	
K10258	R10828	
K10011	R07658	rxn07473
K07806	R07659	rxn07474
K10011	R07660	rxn07475
K10012	R07661	rxn07476
K13014	R07662	rxn07477
K12339	R03132	rxn02246
K22846	R03132	rxn02246
K13668	R12041	
K14335	R11994	
K13669	R11997	
K13668	R12040	
K22311	R12039	
K22311	R12042	
K00632	R07895	rxn07685
K07513	R07895	rxn07685
K08256	R12038	
K04020	R00230	rxn00173
K13788	R00230	rxn00173
K00625	R00230	rxn00173
K15024	R00230	rxn00173
K00158	R00207	rxn00152
K00163	R00209	rxn00154
K00163	R00212	rxn00157
K00163	R01196	rxn13974
K00163	R10866	
K00161	R00209	rxn00154
K00161	R00212	rxn00157
K00161	R01196	rxn13974
K00161	R10866	
K00162	R00209	rxn00154
K00162	R00212	rxn00157
K00162	R01196	rxn13974
K00162	R10866	
K00627	R00209	rxn00154
K00627	R00212	rxn00157
K00627	R01196	rxn13974
K00627	R10866	
K00382	R00209	rxn00154
K00382	R00212	rxn00157
K00382	R01196	rxn13974
K00382	R10866	
K13997	R00209	rxn00154
K13997	R00212	rxn00157
K13997	R01196	rxn13974
K13997	R10866	
K00169	R00209	rxn00154
K00169	R00212	rxn00157
K00169	R01196	rxn13974
K00169	R10866	
K00170	R00209	rxn00154
K00170	R00212	rxn00157
K00170	R01196	rxn13974
K00170	R10866	
K00171	R00209	rxn00154
K00171	R00212	rxn00157
K00171	R01196	rxn13974
